"Type","Description"
"Error","E24010: Hyperlink not resolved in toc (One possible reason can be that the link points to a tag with style display:none):/private/var/folders/tb/4klg14dj4x3_ksbvzyw4l2_h0000gn/T/685aba2d-a0f7-4c62-b8d1-49e3bf67eb48/cTemp/mTemp/mobi-AlFWpb/OEBPS/Text/Dune_TOC.xhtml#","","","",""
"Error","E24001: The table of content could not be built.","","","",""
"Notice","W14001: Hyperlink not resolved:  /private/var/folders/tb/4klg14dj4x3_ksbvzyw4l2_h0000gn/T/685aba2d-a0f7-4c62-b8d1-49e3bf67eb48/cTemp/mTemp/mobi-AlFWpb/OEBPS/Text/Dune_TOC.xhtml","","","",""
"Notice","W14002: Some hyperlinks could not be resolved.","","","",""
"Status","Book conversion failed."
